time;0;1;2;3;4;5;6;7;8;9
3.9;(5.36542,-0.045099);(4.68531,3.41043);(1.6205,4.90686);(-1.67541,5.04813);(-3.84418,2.77971);(-5.5782,-0.00449421);(-3.73472,-2.7147);(-1.65231,-5.09395);(1.35454,-4.44907);(3.9877,-2.89467)
3.95;(5.30075,-0.0472063);(4.63585,3.37514);(1.60061,4.84061);(-1.65634,4.98357);(-3.78277,2.73567);(-5.51533,-0.00577421);(-3.67189,-2.66933);(-1.63164,-5.03039);(1.32861,-4.37416);(3.92881,-2.85094)
4;(5.23574,-0.0492987);(4.58651,3.34006);(1.58086,4.77451);(-1.63752,4.91901);(-3.7215,2.69179);(-5.45243,-0.00695588);(-3.60914,-2.62405);(-1.61098,-4.9669);(1.30262,-4.29961);(3.87053,-2.80725)
4.05;(5.17107,-0.0512758);(4.5372,3.30499);(1.56126,4.70855);(-1.61887,4.85468);(-3.66035,2.64805);(-5.38953,-0.00804961);(-3.54646,-2.57889);(-1.59036,-4.90353);(1.27658,-4.2254);(3.8122,-2.76373)
4.1;(5.10689,-0.0531856);(4.48794,3.26995);(1.54182,4.64274);(-1.60049,4.79063);(-3.59934,2.60447);(-5.32662,-0.00906357);(-3.4838,-2.53391);(-1.56975,-4.84027);(1.25048,-4.15152);(3.75369,-2.72032)
4.15;(5.04236,-0.0551247);(4.43872,3.23496);(1.52255,4.57712);(-1.58208,4.72668);(-3.53847,2.56106);(-5.26373,-0.0100057);(-3.42145,-2.48893);(-1.54919,-4.77718);(1.22429,-4.07797);(3.6959,-2.67693)
4.2;(4.97826,-0.0569685);(4.38985,3.20066);(1.50346,4.51168);(-1.56442,4.66242);(-3.47774,2.51782);(-5.20085,-0.0108836);(-3.35897,-2.44419);(-1.52867,-4.71424);(1.19803,-4.00474);(3.63804,-2.63371)
4.25;(4.91482,-0.0587731);(4.34103,3.16636);(1.48456,4.44645);(-1.54668,4.5983);(-3.41715,2.47476);(-5.138,-0.0117056);(-3.29686,-2.39945);(-1.50822,-4.65149);(1.17167,-3.93182);(3.57993,-2.59061)
4.3;(4.85099,-0.0606435);(4.29227,3.1321);(1.46586,4.38143);(-1.5289,4.5343);(-3.35671,2.43189);(-5.076,-0.0133583);(-3.23512,-2.35469);(-1.48783,-4.58893);(1.14599,-3.85835);(3.52267,-2.54751)
4.35;(4.7878,-0.0624462);(4.24357,3.09787);(1.44737,4.31662);(-1.51109,4.47045);(-3.29641,2.38922);(-5.01402,-0.0149079);(-3.17375,-2.30995);(-1.46751,-4.52655);(1.1201,-3.78525);(3.46531,-2.50459)
4.4;(4.72668,-0.064435);(4.19493,3.06369);(1.4291,4.25204);(-1.49362,4.40695);(-3.23627,2.34676);(-4.95209,-0.0163633);(-3.11243,-2.26545);(-1.44726,-4.46437);(1.09399,-3.71251);(3.40649,-2.4616)
4.45;(4.66507,-0.066512);(4.14632,3.02955);(1.41107,4.18767);(-1.47611,4.34357);(-3.17629,2.30454);(-4.89021,-0.0177331);(-3.05154,-2.22094);(-1.42708,-4.4024);(1.06761,-3.6402);(3.34885,-2.41857)
4.5;(4.60304,-0.0686925);(4.09774,2.99547);(1.3933,4.12355);(-1.45905,4.2806);(-3.11646,2.26257);(-4.82839,-0.019028);(-2.99065,-2.17672);(-1.40698,-4.34065);(1.04099,-3.56829);(3.29233,-2.37555)
4.55;(4.54062,-0.070987);(4.04922,2.96145);(1.3758,4.05966);(-1.44195,4.21775);(-3.05681,2.22086);(-4.76665,-0.0202602);(-2.93027,-2.13248);(-1.38694,-4.27912);(1.01417,-3.49675);(3.23687,-2.33257)
4.6;(4.47917,-0.0731751);(4.00077,2.9275);(1.35861,3.99604);(-1.42907,4.15683);(-2.99732,2.17944);(-4.70535,-0.0217407);(-2.86617,-2.09004);(-1.36699,-4.21781);(0.987537,-3.42525);(3.1811,-2.28991)
4.65;(4.41732,-0.0754844);(3.95236,2.89364);(1.34161,3.93269);(-1.41573,4.09586);(-2.93809,2.13831);(-4.6441,-0.0231727);(-2.80302,-2.04747);(-1.3471,-4.15673);(0.960727,-3.35415);(3.12652,-2.24728)
4.7;(4.35652,-0.0776188);(3.90403,2.85989);(1.32485,3.86964);(-1.40201,4.03489);(-2.87911,2.09748);(-4.58344,-0.0250572);(-2.7408,-2.00476);(-1.32729,-4.09587);(0.934294,-3.28294);(3.07168,-2.20507)
4.75;(4.29806,-0.0799048);(3.85573,2.82624);(1.30836,3.8069);(-1.38796,3.97393);(-2.82038,2.057);(-4.52282,-0.0268681);(-2.67951,-1.96196);(-1.30754,-4.03525);(0.907594,-3.21214);(3.01544,-2.16295)
4.8;(4.23905,-0.0823674);(3.80924,2.79431);(1.29046,3.74284);(-1.37362,3.913);(-2.76189,2.0169);(-4.46225,-0.0286097);(-2.61919,-1.91906);(-1.28789,-3.9749);(0.880489,-3.14187);(2.96085,-2.12086)
4.85;(4.17954,-0.084983);(3.76264,2.76232);(1.27307,3.67922);(-1.35909,3.85217);(-2.70367,1.97723);(-4.40226,-0.030721);(-2.55986,-1.87607);(-1.26832,-3.91483);(0.853681,-3.07165);(2.90779,-2.07887)
4.9;(4.12206,-0.0875641);(3.71597,2.73027);(1.25622,3.61606);(-1.3444,3.79146);(-2.64573,1.93802);(-4.34232,-0.0327571);(-2.50153,-1.83301);(-1.24885,-3.85502);(0.826665,-3.00188);(2.85374,-2.0373)
4.95;(4.06402,-0.0903635);(3.66922,2.69818);(1.24001,3.55335);(-1.32959,3.73089);(-2.58806,1.89933);(-4.28247,-0.0347206);(-2.44426,-1.78988);(-1.22948,-3.7955);(0.799285,-2.93264);(2.80146,-1.99589)
5;(4.00551,-0.0934192);(3.6224,2.66609);(1.22486,3.49114);(-1.31469,3.67046);(-2.53065,1.86121);(-4.22317,-0.0369572);(-2.38811,-1.74666);(-1.21023,-3.73627);(0.771727,-2.86355);(2.75081,-1.95479)
5.05;(3.94887,-0.096189);(3.57556,2.634);(1.20992,3.42923);(-1.2997,3.61018);(-2.47349,1.82374);(-4.1646,-0.0396768);(-2.33314,-1.70335);(-1.19111,-3.67732);(0.744955,-2.79392);(2.69955,-1.9149)
5.1;(3.89172,-0.099355);(3.52867,2.60194);(1.19524,3.36762);(-1.28513,3.55045);(-2.41658,1.78698);(-4.10607,-0.0422806);(-2.27899,-1.66034);(-1.17215,-3.61866);(0.717955,-2.72424);(2.65052,-1.87579)
5.15;(3.83654,-0.10223);(3.48175,2.56992);(1.18082,3.30632);(-1.27097,3.49129);(-2.35992,1.75099);(-4.04761,-0.0447832);(-2.22578,-1.61761);(-1.15337,-3.56027);(0.693083,-2.65544);(2.59902,-1.8373)
5.2;(3.78086,-0.105664);(3.43732,2.54016);(1.16488,3.24339);(-1.25719,3.4327);(-2.30352,1.71583);(-3.98925,-0.0471878);(-2.17364,-1.57511);(-1.13479,-3.50222);(0.666964,-2.58703);(2.55035,-1.7994)
5.25;(3.72773,-0.109174);(3.39267,2.51021);(1.15013,3.18117);(-1.24378,3.37475);(-2.2474,1.68159);(-3.93102,-0.0495089);(-2.12287,-1.53262);(-1.11645,-3.44448);(0.642603,-2.51986);(2.49878,-1.76201)
5.3;(3.67372,-0.112848);(3.3478,2.48009);(1.13649,3.11965);(-1.23503,3.3281);(-2.1871,1.63772);(-3.87294,-0.0517441);(-2.07322,-1.4907);(-1.0984,-3.38711);(0.616832,-2.45325);(2.45068,-1.72521)
5.35;(3.62322,-0.116384);(3.30285,2.44987);(1.12271,3.05903);(-1.22545,3.28034);(-2.12711,1.59629);(-3.81609,-0.0551161);(-2.02553,-1.44934);(-1.08078,-3.33019);(0.595088,-2.38659);(2.39838,-1.6886)
